id,session,lh-bankssts,lh-caudalanteriorcingulate,lh-caudalmiddlefrontal,lh-cuneus,lh-entorhinal,lh-fusiform,lh-inferiorparietal,lh-inferiortemporal,lh-isthmuscingulate,lh-lateraloccipital,lh-lateralorbitofrontal,lh-lingual,lh-medialorbitofrontal,lh-middletemporal,lh-parahippocampal,lh-paracentral,lh-parsopercularis,lh-parsorbitalis,lh-parstriangularis,lh-pericalcarine,lh-postcentral,lh-posteriorcingulate,lh-precentral,lh-precuneus,lh-rostralanteriorcingulate,lh-rostralmiddlefrontal,lh-superiorfrontal,lh-superiorparietal,lh-superiortemporal,lh-supramarginal,lh-frontalpole,lh-temporalpole,lh-transversetemporal,lh-insula,rh-bankssts,rh-caudalanteriorcingulate,rh-caudalmiddlefrontal,rh-cuneus,rh-entorhinal,rh-fusiform,rh-inferiorparietal,rh-inferiortemporal,rh-isthmuscingulate,rh-lateraloccipital,rh-lateralorbitofrontal,rh-lingual,rh-medialorbitofrontal,rh-middletemporal,rh-parahippocampal,rh-paracentral,rh-parsopercularis,rh-parsorbitalis,rh-parstriangularis,rh-pericalcarine,rh-postcentral,rh-posteriorcingulate,rh-precentral,rh-precuneus,rh-rostralanteriorcingulate,rh-rostralmiddlefrontal,rh-superiorfrontal,rh-superiorparietal,rh-superiortemporal,rh-supramarginal,rh-frontalpole,rh-temporalpole,rh-transversetemporal,rh-insula,cortex
PH_102,F1,162.7,336.6,161.8,236.5,165.5,164.4,119.1,162.1,181.1,132,205.1,254.8,231.1,207.5,226.6,175.8,233,205.4,237.2,255.7,154.1,248.5,167.1,153.3,274.2,162.4,200.4,126.7,241.9,143.3,173.5,220.3,245.5,222.5,212.4,373.9,165.6,108.4,185.2,112.6,104.5,159.7,144.9,96.76,195.1,153.8,312.5,206.1,241.2,177.4,175.1,184.7,171,141.1,161.9,239,186.1,102,349.2,167.5,222.7,103,220.1,194.6,258.5,281.6,214.4,224.4,178.9210069
PH_102,F2,366.4,502.6,299.2,465,203.7,259,280.7,334,410.5,284.5,344.1,435.2,339.9,374.4,304.7,341.1,388,389.5,386.7,483.7,273.2,475,303.1,377.2,427.4,291,323.9,235.2,382.9,283.6,379.4,285.5,413.6,353.9,408.8,466.2,253,238.7,272.8,195.8,320.2,336.7,331.1,280.6,283.7,291.5,406.6,385.2,395.6,380.8,319.9,346.8,300.6,274.2,258.5,467.9,285.5,249,426.2,257.2,293,185.4,370.8,309,363.8,296.7,418.3,342.7,314.4347375
PH_103,F0,575.7,612.9,540.9,670,397,394.6,548.7,552.7,681.6,486,456.1,560.4,485.6,566.6,407.7,485.5,563.4,505.7,491.6,606.5,455.5,633.6,485.6,615.6,498.8,453.6,441.6,440.7,534.3,524.3,446,483.3,536.6,486.1,633.3,631.3,457.6,581.7,433.6,398.5,550,556.6,588.4,508.4,396.8,499.2,551.9,578.9,412.8,420.9,542.8,397.5,430.8,489.1,411.2,548.5,472.7,512.4,579.2,357.2,417.8,423.4,548.6,480.1,389.9,420.3,524.8,444.3,489.0877098
PH_103,F1,631.9,738.4,586.9,711.5,382.4,406.4,625.8,614.2,798.8,517.7,534,602,591.9,615.8,440.4,538.1,640.2,584.4,551.6,631.7,493.9,727.9,535.1,697.8,618.1,536.2,536.7,494.5,586.8,579,557,525.5,598.4,533.2,702.8,792.6,577.6,617.9,461.8,432.3,665.8,630.1,704.4,569.5,479.2,532.6,711.6,670.9,443.7,514,627.6,518.1,534.2,527.2,461.9,649.2,535.8,596.1,757,468.3,542.2,504,622,561.3,497.8,532.3,618,500.8,562.2730806
PH_103,F2,564.1,682.6,488.5,651.2,355.3,375,525.2,514,626.6,508.6,465.8,556.8,518.4,510.5,396.7,501.4,581.6,525,512,602.9,470.2,635.5,497.4,598.4,551.7,458.3,465.3,459.9,520.2,505.1,452.4,478.6,552.8,518.7,641.8,712.9,483.1,639.4,443.1,399,596.1,542.5,654.9,556.8,421.2,535.6,599.9,608.5,374.1,482.9,615.7,477,509.1,576,459.3,641.8,495.2,580.7,656.9,415.1,433.7,482,596.9,541.1,465.4,511.3,594.3,490.3,509.4554157
PH_104,F0,630.5,821.1,555.7,553,427.8,369.5,506.7,569.3,603.5,385.1,461.5,539.6,629.8,654.3,455.6,583.6,617.6,594.1,587.8,531.2,501.3,767,546.5,563.3,594,531.1,570.3,382.6,635.2,562.7,611,548.2,580.3,512.2,800,825.7,428.6,476.5,425.1,411.8,621.6,529.3,497.1,375.8,402,460,647.5,582.3,429.5,440.8,505.6,406.4,442.6,455.4,494.5,658.9,471.6,473.8,668,404.7,512.4,373,628.3,564,617.5,581.9,624.7,517.5,518.3404798
PH_104,F1,574.3,933.6,683.5,570.6,424.1,387.7,512.6,564.3,599.7,432.4,534.6,523.4,694.2,643.2,454.9,497.4,667.6,603.7,592.3,562.9,538.1,752,610.7,583.5,695.7,600.5,652.6,385.2,631.7,547.8,600.1,601.7,602.9,591.4,746.6,903.9,475.9,493.2,442.9,388.9,665.6,538.5,501.1,440.7,464.2,442.6,713.1,607,422,509.6,583.7,492.2,518.4,471,572.2,699.5,576.6,463.4,743.6,497.2,564.1,399.7,656.2,631.2,721,572.1,613.7,575.2,557.5013406
PH_104,F2,534.2,830.7,568.4,606.6,405.4,384.6,462.4,530.4,618.4,413,495.9,565.4,670.7,596.5,472.6,507.4,599.4,605.8,563.9,601.7,445,710.7,495.5,584,625.5,542.7,568.2,355.7,589.2,468.3,640.3,543.8,546.8,533.7,719.3,833,378.2,524.2,435.7,387.8,625.9,537.7,498,453,463,479.4,706.7,567.3,449.1,469.9,537,459.4,457.1,506.9,455.1,661.3,444.4,466.2,738.3,449.4,514,379,623.1,525.7,680.8,570,576.3,519.5,516.7275149
PH_105,F0,732.6,865.4,612.9,776.2,613.3,587.6,650.2,711.8,952.5,628.3,599.7,850.4,728.3,784.2,715.7,685.2,705.2,717.6,665.7,880.5,589.4,836.4,637,809.6,802.2,619.2,609.5,548,780.2,634.5,641.1,704.9,716.8,615.6,812.5,880.9,515.3,748.7,577.9,545.5,676.6,737.4,844.6,716.8,532,675.8,806,743.4,712.9,604.7,699.4,669.3,558.9,677.5,555.2,783.2,622.8,663.8,896,529.6,554.4,549.7,752.1,650.6,785.6,638.7,816.6,678.5,661.460157
PH_105,F1,625.6,760.3,539.4,680.4,455.5,488.3,578.3,589.6,798.2,577.5,555.8,744.8,642.5,657.1,588.3,612.2,653.6,656.5,614,779.1,527.6,748.4,570.6,705.8,692.2,572.4,566.6,500.4,659.7,559.8,553.5,614,660.6,594,660.1,787.6,491.2,700.4,447.1,465.2,564,593.4,736.9,626.2,497.1,630.8,694.7,618.6,573.3,572.8,624.2,612.5,527.1,654.3,496.2,716,532.5,626.3,753.4,494.5,525.4,513.7,649.8,541.2,697.9,558.6,700.2,598.4,584.8671637
PH_105,F2,670,815.7,549.4,671.3,541.5,538.7,552.9,589.6,795,563,558.7,762.8,663.1,671.9,628.3,600,671.4,687,636.1,783.1,530.9,786.5,573.2,708.1,717.2,598.3,577.6,456.3,694.9,566.4,639.7,646.3,696,590.5,704.4,849.4,450.6,686.8,482.1,476.6,555,622.9,733.4,643,524.9,647,701.7,643.8,624.7,594.3,651.5,615.8,540.5,646.1,499.7,745.3,531.3,633.2,771.7,507.9,502.9,480.8,698.8,565.3,677.3,630.4,740.4,667.3,595.3770567
PH_106,F0,516.3,828.7,401,327,335.1,311.5,264.4,362.9,703.3,219.6,554.8,400.6,681.9,593.9,632.4,592.2,647.2,583.3,573.4,330.6,430.3,779,424.5,459.3,748.4,400.8,573.1,244.4,615.2,446.6,614.9,523,604.1,568.3,550.3,693.4,346,289.9,334.9,262.8,411.4,428.6,628.5,232.2,420.8,361.1,618.8,533.6,445.3,479.3,543.7,374.3,434.2,286.9,352.8,696,371.8,389.5,688.8,328.1,383.5,212.1,576.6,497.1,504.5,417.8,545.8,562.4,438.203367
PH_106,F1,335.4,685.6,258.1,179.9,306.3,225.1,150.6,239.6,404.5,127.1,326.1,232.9,522.5,419.6,514.4,428.4,464,321.9,353.4,170.5,251.9,570,310.9,254.2,606.8,218.9,434.3,147.3,463.9,280.3,369.6,420.4,444.2,421.2,447.3,579.6,282,166.8,248.9,168.5,263.7,344.6,397.3,152.8,285.8,209.3,513.6,455.5,343.6,368.3,395.5,205.2,300.4,163.1,251.9,567.4,262.9,234.9,575.5,218.5,320.8,123.6,474.6,420.5,357,298.4,471.3,480.1,309.5159407
PH_106,F2,376.2,687.1,297.9,223.9,339.5,269.2,184.7,281.3,474.4,148.6,452.7,281.5,600.8,461.5,592.8,425.8,504.3,452.5,471.9,222.8,332.8,598.4,327.3,297.5,651.2,276.6,501.3,162.7,495.3,330.1,499.2,470.5,526.4,490.5,374.2,601.3,270.3,194.7,320,188.6,259.2,323.9,430.2,162.5,318,255.8,523.7,449.5,375.7,316.7,433.1,247.3,323.4,185.8,252.6,521.2,258,251.3,545.3,234.1,286.8,123.1,482.5,366.2,380.3,382,470.4,469.6,334.6792922
