id,session,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,Left-Hippocampus.long,Right-Hippocampus.long
PH_007,F0,430.79,520.26,327.25,251.52,399.53,388.61,416.15,285.67,355.01,302.59,349.49,365.88,358.58,408.89,441.96,408.47,452.28,337.74,415.86,499.26,284.82,336.53,406.34,417.13,366.45,330.57,374.56,370.97,357.65,405.01,443.57,385.41,426.47,255.32,280.43,469.9,754.09,717.53,571.37,656.06,539.57,0,360.6311324,353.7527491
PH_007,F1,398.98,503.78,264.1,260.13,378.03,380.43,362.02,322.74,382.66,337.73,329.87,372.3,405.81,357.06,507.53,371.44,513.78,260.75,398.22,501.57,257.78,321.35,381.53,400.67,363.72,339.18,413.15,368.48,357.66,425.39,490.58,391.73,478.31,250.83,256.23,299.2,477.8,610.83,579.87,520.79,532.98,497.42,370.096026,354.1190891
PH_007,F2,338.63,420.7,239.61,212.07,331.93,326.12,304.99,268.96,331.15,280.81,287.8,288.5,328.07,369.52,417.44,304.75,409.12,236.58,337.58,424.22,259.57,309.01,361.32,363.28,339.24,289.98,325.56,310.45,306.29,356.81,422.14,343.24,396.43,229.57,211.72,281.31,438.34,617.66,610.68,460.26,541.5,491.64,281.9610201,300.9290507
PH_008,F0,385.27,461.66,275.44,402.24,425.09,458.57,380.39,227.49,336.01,370.53,338,374.63,375.16,321.27,458.38,389.55,417.98,313.84,370.22,443.94,223.95,356.71,395.85,428.75,323.03,237.02,349.67,318.91,377.65,380.93,405.3,342.29,483.25,269.03,241.63,481.82,487.21,659.07,635.01,701.7,525.17,0,378.6522419,378.7775291
PH_008,F1,373.1,443.39,279.74,286.55,377.34,400.55,351.67,231.5,337.96,329.76,301.87,341.12,341.46,330.2,402.85,362.96,444.32,296.65,356.12,420.68,227.89,289.45,340.08,369.95,313.8,229.31,326.51,280.4,349.67,348.86,373.62,316.54,413,257.53,238.72,233,510.14,428.96,637.46,675.77,655.89,506.06,345.3691484,352.106538
PH_008,F2,460.89,547.68,336.16,431.28,473.92,510,451.25,286.31,411.11,409.69,431.82,445.15,460.04,291.84,551.32,477.81,578.22,411.1,429.79,506.61,271.74,408.9,444.14,487.65,340.88,259.98,375.68,329.71,417.77,424.26,422.75,321.13,527.27,309.85,270.61,596.75,573.41,692.48,674.91,835.12,668.2,0,450.0733551,417.807329
PH_009,F0,554.15,630.47,466.95,425.83,559.22,626.66,560.85,430.33,367.76,386.72,483.77,497.29,419.55,762.47,623.37,533.33,393.46,430.2,525.5,610.33,418.15,398.8,560.03,619.87,517,407.95,399.97,357.34,485.11,422.9,543.26,527.29,498.69,439.91,375.39,454.37,735.84,1055.6,1147,806.11,776.88,692.14,509.7349118,492.7105059
PH_009,F1,451.75,535.35,460.56,396.15,485.51,496.76,535.51,377.6,374.91,350.85,392.12,493.1,395.25,827.58,538.48,528.34,488.59,391.69,455.15,547.43,375.36,347.25,452.64,476.05,427.51,349.71,382.09,348.69,448.13,430.45,468.77,427.89,510.55,407.64,327.8,540.04,925.26,1335.7,1119,856.09,755.15,0,503.6128288,453.3087091
PH_009,F2,435.15,520.32,456.9,390.9,426.5,494.47,516.02,354.59,335.44,372.88,380.97,473.69,449.1,657.17,499.51,478.32,434.61,431.09,434.4,513.45,305.56,444.96,428.04,472.6,374.29,305.73,390.17,377.27,466.46,452.37,483.34,402.74,425.59,344.11,322.8,138.32,631.43,799.46,1142.1,833.86,727.84,689.12,483.2898716,473.0249753
PH_101,F0,337.79,394.8,263.48,319.22,427.45,444.13,341.46,211.6,275.97,280.19,310.07,357.74,325.74,461.18,313.93,349.12,354.23,339.78,330.31,410.37,251.34,264.47,386.16,471.88,317.79,236.58,281.63,266.88,342.91,312.52,293.22,305.27,347.05,271.6,234.28,419.5,685.86,773.1,534.51,547.56,502.48,0,363.4549592,347.8762478
PH_101,F1,387.17,454.16,321.5,334.8,417.2,487.92,345.57,282.3,330.3,331.67,336.23,387.29,367.57,456.31,423.04,346.35,416.22,347.56,361.04,440.16,268.19,247.27,370.23,480.14,335.29,271.85,315.72,304.8,338.14,348.89,398.97,331.66,371.22,279.99,266.17,587.24,681.3,732.9,584.22,628.7,611.72,0,390.1834271,336.6672041
PH_101,F2,399.13,470.29,306.41,315.17,474.03,540.46,383.35,296.02,308.7,311.84,331.48,366.46,328.49,515,422.66,378.97,375.27,353.48,395.08,468.56,281.12,279.24,424.33,536.06,392.56,317.77,366.99,346.95,409.11,378.15,421.65,392.62,420.66,303.86,283.76,466.32,646.68,831.25,599.44,546.52,509.19,0,374.5526324,415.2187188
PH_102,F0,267.34,310.45,200.09,230.58,252.5,295.91,244,193.1,271.42,241.63,267.81,261.13,283.54,284.31,342.14,310.35,327.52,195.38,260,307.76,196.08,256.15,273.63,235.64,207.61,191.11,262.25,214.87,266.4,263.42,239.56,273.71,330.67,199.93,158.83,197.35,326.8,403.38,582.62,460.46,456.13,356.15,260.8465682,262.6806683
PH_102,F1,152.43,182.89,163.59,132,169.99,179.83,152.3,137.04,148.65,162.56,203.84,175.47,169.43,238.57,191.57,191.45,147.05,164.36,141.88,174.98,168.26,161.32,162.2,133.75,121.02,151.25,172.97,151.3,137.57,195.87,211.1,166.75,245.27,132.75,113.47,113.54,222.72,197.27,431.68,441.62,493.83,405.48,174.9451294,135.1990735
PH_102,F2,274.37,328.33,213,214.11,259.36,274.11,251.41,166.02,251.27,239.88,283.83,268.28,252,341.27,219.64,293.47,277.97,241.99,253.4,301.85,213.68,183.16,263.57,233.92,217.26,175.43,220.68,222.11,245.88,226.68,234.22,276.62,272.07,216.41,159.18,210.66,231.56,478.51,672.68,549.64,599.27,394.56,268.7773265,242.0183597
PH_103,F0,437.99,504.68,307.02,329.27,466.18,533.76,399.6,272.5,315.38,253.09,363.78,372.43,350.51,342.52,406.35,380.87,353.31,306.73,412.49,476.29,292.71,317.71,436.72,505.46,375.55,279.92,326.82,282.52,374.96,348.21,328.29,345.66,340.95,303.49,297.49,480.16,659.64,695.43,415.08,530.19,506.53,0,375.5888241,381.2458001
PH_103,F1,488.81,566.21,335.65,327.69,504.45,548.67,424.04,333.26,338.83,337.04,385.39,401.87,392.8,375.15,531.59,394.84,395.39,319.24,465.68,562,336.28,337.08,474.73,552.38,422.91,319.71,354.52,299.36,406.76,415.5,428.77,411.64,410.6,355.61,341.29,336.59,523.76,742.5,788.6,550.92,696.32,693.37,404.6124673,411.5723215
PH_103,F2,443.82,504.2,307.98,320.22,455.96,497.39,359.12,310.17,307.85,300.08,331.35,369.3,352.81,381.76,497.56,336.13,323.39,286.03,433.95,517.75,350.57,314,437.33,497.6,406.82,321.7,368.21,301.15,385.83,398.34,381.34,397.03,388.3,360.16,310.29,525.44,688.7,739.43,571.99,703.99,633.59,0,369.6699968,391.0056262
PH_104,F0,424.87,539.16,311.37,316.07,441.7,497.91,439.85,235.03,364.57,351.41,392.08,398.74,409.47,411.74,445.02,456.94,478.49,336.3,397.29,499.08,279.02,290.67,436.36,478.75,374.15,247.16,338.64,362.38,419.38,407.18,485.74,388.24,452.3,305.29,216.32,199.47,465.58,654.25,952.85,774.36,784.49,695.02,400.6325507,423.8559404
PH_104,F1,448.38,572.62,295.73,348.81,449.29,505.53,395.9,243.99,389.7,344.84,381.42,408.08,418.94,448.48,430.56,402.65,503.85,306.38,432.65,544.55,326.8,299.25,444.52,477.84,393.9,293.07,391.77,418.3,410.57,472.6,520.11,365.5,474.37,305.26,221.9,188.07,490.53,591.34,927.74,803.35,875.76,781.12,408.8714175,413.0064575
PH_104,F2,427.33,527.25,294.23,378.03,446.06,513.13,422.96,265.56,367.23,353.4,379.46,402.93,412.76,431.2,519.71,442.48,486.79,301.79,408.29,507.94,310.14,292.44,449.9,504.76,423.61,274.99,364.31,367.1,403.27,422.59,538.8,420.7,458.71,317.25,224.42,191.14,490.96,563.69,879.03,754,745,679.49,403.0388621,406.056252
PH_105,F0,587.53,675.2,451.83,509.12,694.56,727.68,652.34,395.74,472.6,472.05,494.48,609.91,559.55,755.43,571.35,588.38,574.03,522.68,573.23,648.76,414.61,442.87,670.2,687.02,579.76,362.82,449.59,435.18,603.08,522.9,506.72,523.59,513.56,512.88,452.92,498.34,565.96,1006.5,1039.3,796.79,882.82,857.77,625.8302021,611.2675714
PH_105,F1,503.19,597.38,344.8,417.86,609.95,625.96,521.2,334.73,397.3,293.39,465.82,492.26,416.54,679.42,504.27,489.66,489.1,409.62,502.25,573.86,376.44,312.23,589.23,615.6,525.2,362.81,426.16,385.26,488.12,453.25,525.68,467.96,484.89,442.97,375.24,404.38,452.96,882.38,941.6,794.47,799.08,680.2,509.3800705,496.8466895
